Label,Vulnerability Name,Package Name,Package Version,Type,Publish Date
M,Cross-site Scripting (XSS),ghost,&lt;0.5.9,npm,"3,May,2017"
M,Cross-site Scripting (XSS),easyxdm,&lt;2.4.19,npm,"3,May,2017"
M,Cross-site Scripting (XSS),bootstrap-markdown,*,npm,"3,May,2017"
M,Cross-site Scripting (XSS),org.webjars.npm:bootstrap-markdown,"(,)",Maven,"3,May,2017"
M,Cross-site Scripting (XSS),org.webjars.bowergithub.toopay:bootstrap-markdown,"(,)",Maven,"3,May,2017"
M,Cross-site Scripting (XSS),org.webjars.bower:bootstrap-markdown,"(,)",Maven,"3,May,2017"
M,Cross-site Scripting (XSS),hexo-editor,*,npm,"2,Jun,2018"
M,Cross-site Scripting (XSS),electron-markdownify,*,npm,"2,Jun,2018"
M,Cross-site Scripting (XSS),oauth2orize-fprm,&lt;0.2.1,npm,"1,Jun,2018"
M,Cross-site Scripting (XSS),pods-framework/pods,"&gt;&#x3D;2.4.4.1, &lt;2.7.27",Composer,"2,Jun,2021"
M,Cross-site Scripting (XSS),qiita-markdown,&lt;0.34.0,RubyGems,"2,Jun,2021"
M,Cross-site Scripting (XSS),torchtext,"[,0.10.0)",pip,"2,Jun,2021"
L,Cross-site Scripting (XSS),striptags,&lt;3.2.0,npm,"2,Jun,2021"
L,Cross-site Scripting (XSS),org.webjars.npm:striptags,"[0,]",Maven,"2,Jun,2021"
M,Cross-site Scripting (XSS),org.sonatype.nexus:nexus-repository,"[,3.30.1-01)",Maven,"1,Jun,2021"
L,Cross-site Scripting (XSS),io.jpress:jpress-core,"[0,]",Maven,"1,Jun,2021"
M,Cross-site Scripting (XSS),wagtail,"[2.13,2.13.2),[2.12,2.12.5),[,2.11.8)",pip,"1,Jun,2021"
M,Cross-site Scripting (XSS),@backstage/plugin-techdocs,&lt;0.9.5,npm,"0,Jun,2021"
M,Cross-site Scripting (XSS),@backstage/techdocs-common,&lt;0.6.4,npm,"0,Jun,2021"
M,Cross-site Scripting (XSS),org.webjars.bowergithub.pandao:editor.md,"[0,]",Maven,"0,Nov,2018"
M,Cross-site Scripting (XSS),org.webjars.bower:editor.md,"[0,]",Maven,"0,Nov,2018"
M,Cross-site Scripting (XSS),org.apache.syncope:syncope-core,"[,2.0.11),[2.1.0, 2.1.2)",Maven,"0,Nov,2018"
M,Cross-site Scripting (XSS),simplemde,*,npm,"0,Nov,2018"
